Index,Value,Date
1,4680,Jan-90
2,4685,Feb-90
3,4691,Mar-90
4,4693,Apr-90
5,4707,May-90
6,4732,Jun-90
7,4734,Jul-90
8,4752,Aug-90
9,4774,Sep-90
10,4771,Oct-90
11,4787,Nov-90
12,4777,Dec-90
13,4777,Jan-91
14,4773,Feb-91
15,4772,Mar-91
16,4766,Apr-91
17,4801,May-91
18,4818,Jun-91
19,4854,Jul-91
20,4892,Aug-91
21,4891,Sep-91
22,4892,Oct-91
23,4896,Nov-91
24,4889,Dec-91
25,4888,Jan-92
26,4884,Feb-92
27,4927,Mar-92
28,4946,Apr-92
29,4965,May-92
30,4973,Jun-92
31,4992,Jul-92
32,5032,Aug-92
33,5042,Sep-92
34,5052,Oct-92
35,5058,Nov-92
36,5059,Dec-92
37,5071,Jan-93
38,5070,Feb-93
39,5106,Mar-93
40,5167,Apr-93
41,5262,May-93
42,5260,Jun-93
43,5252,Jul-93
44,5230,Aug-93
45,5255,Sep-93
46,5264,Oct-93
47,5278,Nov-93
48,5310,Dec-93
49,5336,Jan-94
50,5371,Feb-94
51,5381,Mar-94
52,5405,Apr-94
53,5405,May-94
54,5408,Jun-94
55,5409,Jul-94
56,5424,Aug-94
57,5437,Sep-94
58,5437,Oct-94
59,5439,Nov-94
60,5439,Dec-94
61,5443,Jan-95
62,5444,Feb-95
63,5435,Mar-95
64,5432,Apr-95
65,5433,May-95
66,5432,Jun-95
67,5484,Jul-95
68,5506,Aug-95
69,5491,Sep-95
70,5511,Oct-95
71,5519,Nov-95
72,5524,Dec-95
73,5523,Jan-96
74,5532,Feb-96
75,5537,Mar-96
76,5550,Apr-96
77,5572,May-96
78,5597,Jun-96
79,5617,Jul-96
80,5652,Aug-96
81,5683,Sep-96
82,5719,Oct-96
83,5740,Nov-96
84,5744,Dec-96
85,5765,Jan-97
86,5769,Feb-97
87,5759,Mar-97
88,5799,Apr-97
89,5837,May-97
90,5860,Jun-97
91,5863,Jul-97
92,5854,Aug-97
93,5851,Sep-97
94,5848,Oct-97
95,5838,Nov-97
96,5858,Dec-97
97,5852,Jan-98
98,5874,Feb-98
99,5875,Mar-98
100,5883,Apr-98
101,5881,May-98
102,5895,Jun-98
103,5921,Jul-98
104,5929,Aug-98
105,5963,Sep-98
106,5986,Oct-98
107,5995,Nov-98
108,5991,Dec-98
109,6000,Jan-99
110,5992,Feb-99
111,5986,Mar-99
112,6008,Apr-99
113,6006,May-99
114,6039,Jun-99
115,6076,Jul-99
116,6091,Aug-99
117,6128,Sep-99
118,6134,Oct-99
119,6127,Nov-99
120,6127,Dec-99
121,6130,Jan-00
122,6160,Feb-00
123,6202,Mar-00
124,6201,Apr-00
125,6233,May-00
126,6238,Jun-00
127,6225,Jul-00
128,6233,Aug-00
