,y,yp
0,16004.0,16024.899137314207
1,16509.0,16116.713427618253
2,16728.0,16640.77808310433
3,16664.0,16861.597747562235
4,16307.0,16784.325188277642
5,16131.0,16392.68256710619
6,16307.0,16201.455687129033
7,16050.0,16394.889812479152
8,15956.0,16076.290033128049
9,15863.0,15998.459046750273
10,15941.0,15893.166713710609
11,16036.0,15992.324058168184
12,16173.0,16098.794795298909
13,16185.0,16248.002570450319
14,16497.0,16254.16747052312
15,16347.0,16585.30640685149
16,16575.0,16406.925145434237
